fid,pH,root_biomass_g,clay_frac,silt_frac,sand_frac
1,4.17,3.9959,1.01E-05,0.005197202,0.994792691
2,5.08,0.67,2.44E-05,0.014269699,0.985705866
2b,5.21,0.8659,8.47E-05,0.055257546,0.944657759
3,4.6,3.2461,1.96E-05,0.011133958,0.988846398
4,4.57,3.0104,2.63E-05,0.01717984,0.982793896
4b,4.57,2.6039,9.85E-05,0.067713214,0.932188266
5,4.69,2.3124,1.40E-04,0.078980001,0.920879765
6,4.18,1.9624,4.10E-05,0.023637182,0.976321841
6b,4.34,6.9712,3.20E-05,0.022219105,0.977748859
7,4.38,3.5016,3.19E-05,0.017680595,0.982287508
8,4.32,2.4662,7.60E-05,0.043900898,0.95602315
8b,4.25,3.1637,1.82E-05,0.013549019,0.986432755
9,4.55,2.2053,3.45E-05,0.019774436,0.980191016
10,5.43,2.9708,7.55E-05,0.043733062,0.956191475
10b,4.27,1.8362,1.72E-05,0.011110388,0.988872398
11,4.32,2.6268,8.27E-05,0.043758451,0.956158859
12,4.2,1.9161,2.56E-05,0.01390236,0.98607203
12b,4.1,2.1944,2.19E-05,0.014713527,0.985264575
13,4.19,2.1968,3.63E-05,0.023774312,0.97618941
14,4.4,2.6252,2.76E-05,0.020125903,0.979846459
14b,4.27,2.3375,1.56E-05,0.009219236,0.990765186
15,4.28,2.1352,3.49E-05,0.022358352,0.977606759
16,4.49,2.2351,3.52E-05,0.023902615,0.976062143
16b,4.29,1.1273,1.67E-05,0.009682744,0.990300596
17,5.08,1.0123,8.37E-05,0.058781046,0.941135277
18,4.26,3.6767,3.71E-05,0.024746604,0.975216267
18b,4.16,7.552,1.69E-05,0.010982202,0.989000865
19,4.41,4.8748,3.25E-05,0.020070728,0.979896821
20,4.57,3.0899,2.74E-05,0.017379052,0.982593572
20b,4.87,2.4915,1.11E-04,0.075108362,0.924780561
21,4.56,4.0592,7.46E-06,0.004044186,0.995948359
22,4.78,1.7028,3.06E-05,0.020375366,0.979593998
22b,5,3.3227,2.65E-05,0.017709115,0.982264406
23,4.89,1.6343,5.45E-05,0.032529809,0.967415649
24,4.05,1.7255,1.31E-05,0.007797004,0.992189893
24b,4.06,2.0655,1.51E-05,0.010812047,0.989172826
