collar_id,tree_id,year,status,dbh,condition
1,1,2016,dead,30,D-D
1,1,2017,dead,30,D-D
2,2,2016,impacted,37,I-D
2,2,2017,dead,37,I-D
3,3,2016,healthy,44.5,H-I
3,3,2017,impacted,44.5,H-I
4,4,2016,impacted,35.7,I-D
4,4,2017,impacted,35.7,I-D
5,5,2016,healthy,43.6,H-I
5,5,2017,impacted,43.6,H-I
6,6,2016,dead,25.6,D-D
6,6,2017,dead,25.6,D-D
7,7,2016,healthy,38.1,H-I
7,7,2017,impacted,38.1,H-I
8,8,2016,impacted,66.5,I-D
8,8,2017,dead,66.5,I-D
9,9,2016,dead,29.9,D-D
9,9,2017,dead,29.9,D-D
10,10,2016,impacted,44,I-D
10,10,2017,dead,44,I-D
11,11,2016,dead,41.4,D-D
11,11,2017,dead,41.4,D-D
12,12,2016,dead,34.3,D-D
12,12,2017,dead,34.3,D-D
13,13,2016,impacted,37.9,I-I
13,13,2017,impacted,37.9,I-I
14,14,2016,dead,41.5,D-D
14,14,2017,dead,41.5,D-D
15,15,2016,impacted,45.6,I-D
15,15,2017,dead,45.6,I-D
16,16,2016,dead,24.7,D-D
16,16,2017,dead,24.7,D-D
17,17,2016,impacted,37.7,I-I
17,17,2017,impacted,37.7,I-I
18,18,2016,healthy,44,H-I
18,18,2017,impacted,44,H-I
19,19,2016,impacted,45.9,I-I
19,19,2017,impacted,45.9,I-I
20,20,2016,healthy,49,H-I
20,20,2017,impacted,49,H-I
21,21,2016,healthy,50.7,H-I
21,21,2017,impacted,50.7,H-I
22,22,2016,healthy,38.7,H-I
22,22,2017,impacted,38.7,H-I
23,23,2016,impacted,35.7,I-I
23,23,2017,impacted,35.7,I-I
24,24,2016,healthy,46.7,H-I
24,24,2017,impacted,46.7,H-I
10b,10,2016,impacted,44,I-D
10b,10,2017,dead,44,I-D
12b,12,2016,dead,34.3,D-D
12b,12,2017,dead,34.3,D-D
14b,14,2016,dead,41.5,D-D
14b,14,2017,dead,41.5,D-D
16b,16,2016,dead,24.7,D-D
16b,16,2017,dead,24.7,D-D
18b,18,2016,healthy,44,H-I
18b,18,2017,impacted,44,H-I
20b,20,2016,healthy,49,H-I
20b,20,2017,impacted,49,H-I
22b,22,2016,healthy,38.7,H-I
22b,22,2017,impacted,38.7,H-I
24b,24,2016,healthy,46.7,H-I
24b,24,2017,impacted,46.7,H-I
2b,2,2016,impacted,37,I-D
2b,2,2017,dead,37,I-D
4b,4,2016,impacted,35.7,I-D
4b,4,2017,impacted,35.7,I-D
6b,6,2016,dead,25.6,D-D
6b,6,2017,dead,25.6,D-D
8b,8,2016,impacted,66.5,I-D
8b,8,2017,dead,66.5,I-D
