tree,collar,date,Month,Year,Soil Temp,Soil Moisture,Conductivity
1,1,6/9/16,June,2016,8,0.206,0.017
2,2,6/9/16,June,2016,8,0.463,0.029
2,2b,6/9/16,June,2016,8,0.477,0.041
3,3,6/9/16,June,2016,7,0.324,0.016
4,4,6/9/16,June,2016,7,0.336,0.016
4,4b,6/9/16,June,2016,7.5,0.422,0.025
5,5,6/9/16,June,2016,8,0.3,0.009
6,6,6/9/16,June,2016,8,0.291,0.01
6,6b,6/9/16,June,2016,8,0.165,0.009
7,7,6/9/16,June,2016,7.5,0.09,0.002
8,8,6/9/16,June,2016,7.5,0.21,0.006
8,8b,6/9/16,June,2016,8,0.379,0.025
9,9,6/9/16,June,2016,7.5,0.309,0.029
10,10,6/9/16,June,2016,8,0.308,0.023
10,10b,6/9/16,June,2016,7.5,0.247,0.016
11,11,6/9/16,June,2016,7.5,0.201,0.007
12,12,6/9/16,June,2016,7.5,0.202,0.012
12,12b,6/9/16,June,2016,7.5,0.116,0.005
13,13,6/9/16,June,2016,7,0.14,0.008
14,14,6/9/16,June,2016,8,0.249,0.02
14,14b,6/9/16,June,2016,7.5,0.31,0.025
15,15,6/9/16,June,2016,7,0.28,0.011
16,16,6/9/16,June,2016,8,0.187,0.01
16,16b,6/9/16,June,2016,7.5,0.332,0.031
1,1,7/7/16,July,2016,15.5,0.116,0.004
2,2,7/7/16,July,2016,16.5,0.402,0.03
2,2b,7/7/16,July,2016,16.9,0.312,0.027
3,3,7/7/16,July,2016,15.8,0.233,0.006
4,4,7/7/16,July,2016,16.3,0.14,0.003
4,4b,7/7/16,July,2016,15.7,0.253,0.005
5,5,7/7/16,July,2016,17,0.124,0.001
6,6,7/7/16,July,2016,15.3,0.039,0.004
6,6b,7/7/16,July,2016,16.1,0.183,0.009
7,7,7/7/16,July,2016,16.1,0.126,0.003
8,8,7/7/16,July,2016,15.4,0.165,0.004
8,8b,7/7/16,July,2016,15,0.116,0.005
9,9,7/6/16,July,2016,15.2,0.137,0.007
10,10,7/7/16,July,2016,16.5,0.015,0.003
10,10b,7/7/16,July,2016,16,0.164,0.008
11,11,7/6/16,July,2016,16,0.063,0.002
12,12,7/6/16,July,2016,15.8,0.088,0.004
12,12b,7/6/16,July,2016,16,0.089,0.005
13,13,7/6/16,July,2016,15.5,0.118,0.002
14,14,7/6/16,July,2016,15.7,0.151,0.002
14,14b,7/6/16,July,2016,15.6,0.278,0.029
15,15,7/6/16,July,2016,15,0.2,0.005
16,16,7/6/16,July,2016,16.2,0.044,0.003
16,16b,7/6/16,July,2016,15.2,0.095,0.011
1,1,8/5/16,August ,2016,16.1,0.067,0.004
2,2,8/5/16,August ,2016,17.1,0.355,0.017
2,2b,8/5/16,August,2016,17.6,0.291,0.025
3,3,8/5/16,August,2016,17.2,0.166,0.005
4,4,8/5/16,August,2016,16.2,0.176,0.008
4,4b,8/5/16,August,2016,16,0.183,0.004
5,5,8/5/16,August,2016,17,0.138,0.008
6,6,8/5/16,August,2016,16.1,0.059,0.002
6,6b,8/5/16,August,2016,16.4,0.072,0.003
7,7,8/5/16,August,2016,16.4,0.165,0.004
8,8,8/5/16,August,2016,16.3,0.12,0.002
8,8b,8/5/16,August,2016,16.6,0.208,0.005
9,9,8/5/16,August,2016,16.5,0.149,0.009
10,10,8/5/16,August,2016,17.6,0.058,0.004
10,10b,8/5/16,August,2016,18,0.12,0.007
11,11,8/5/16,August,2016,16.8,0.024,0.002
12,12,8/5/16,August,2016,17.1,0.078,0.002
12,12b,8/5/16,August,2016,16.7,0.093,0.003
13,13,8/5/16,August,2016,16.4,0.085,0.005
14,14,8/5/16,August,2016,16.5,0.048,0.005
14,14b,8/5/16,August,2016,16.6,0.13,0.016
15,15,8/5/16,August,2016,15.8,0.089,0.002
16,16,8/5/16,August,2016,16.9,0.117,0.005
16,16b,8/5/16,August,2016,17.3,0.258,0.022
1,1,9/7/16,September,2016,16.5,0.029,0.002
2,2,9/7/16,September,2016,17.1,0.165,0.006
2,2b,9/7/16,September,2016,17.2,0.137,0.003
3,3,9/7/16,September,2016,16.8,0.109,0.004
4,4,9/7/16,September,2016,16.3,0.034,0.002
4,4b,9/7/16,September,2016,15.8,0.083,0.001
5,5,9/7/16,September,2016,17.3,0.066,0.002
6,6,9/7/16,September,2016,17.1,0.049,0.001
6,6b,9/7/16,September,2016,16.8,0.053,0.001
7,7,9/7/16,September,2016,16.4,0.033,0.002
8,8,9/7/16,September,2016,17.2,0.055,0.001
8,8b,9/7/16,September,2016,16.9,0.157,0.002
9,9,9/7/16,September,2016,16.7,0.046,0.006
10,10,9/7/16,September,2016,17.2,0.047,0.002
10,10b,9/7/16,September,2016,16.9,0.076,0.002
11,11,9/7/16,September,2016,17.3,0.022,0.002
12,12,9/7/16,September,2016,17.2,0.038,0.001
12,12b,9/7/16,September,2016,17.1,0.021,0.001
13,13,9/7/16,September,2016,16.8,0.033,0.001
14,14,9/7/16,September,2016,16.6,0.011,0.002
14,14b,9/7/16,September,2016,16.7,0.056,0.005
15,15,9/7/16,September,2016,16.7,0.025,0.002
16,16,9/7/16,September,2016,16.9,0.028,0.002
16,16b,9/7/16,September,2016,16.8,0.099,0.004
17,17,9/7/16,September,2016,16.2,0.121,0.003
18,18,9/7/16,September,2016,16.8,0.048,0.002
18,18b,9/7/16,September,2016,16.4,0.05,0.002
19,19,9/7/16,September,2016,17.2,0.063,0.002
20,20,9/7/16,September,2016,16.8,0.106,0.004
20,20b,9/7/16,September,2016,16.8,0.164,0.004
21,21,9/7/16,September,2016,17.2,0.103,0.003
22,22,9/7/16,September,2016,16.6,0.052,0.003
22,22b,9/7/16,September,2016,16.8,0.043,0.003
23,23,9/7/16,September,2016,16.1,0.092,0.003
24,24,9/7/16,September,2016,15.5,0.04,0.002
24,24b,9/7/16,September,2016,16.1,0.009,0.002
1,1,10/16/16,October,2016,9.4,0.079,0.006
2,2,10/14/16,October,2016,10.1,0.351,0.023
2,2b,10/14/16,October,2016,9.9,0.309,0.024
3,3,10/14/16,October,2016,10.2,0.235,0.008
4,4,10/16/16,October,2016,7.9,0.099,0.004
4,4b,10/16/16,October,2016,8.7,0.13,0.002
5,5,10/16/16,October,2016,7.5,0.216,0.011
6,6,10/16/16,October,2016,8.5,0.127,0.006
6,6b,10/16/16,October,2016,8.3,0.067,0.003
7,7,10/16/16,October,2016,8.1,0.2,0.008
8,8,10/16/16,October,2016,8.3,0.231,0.005
8,8b,10/16/16,October,2016,8.7,0.1,0.005
