"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-01","6.93",",,W",,,"0.00",",,W,2400","0.0",",,W","0","T,,W","19","H,,S","31",",,W","9",",,W","  230",",,W","  240",",,W","17.0",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-02","8.50",",,W",,,"0.00","T,,W,2400","0.0","T,,W","0","T,,W","27","H,,S","36",",,W","17",",,W","  300",",,W","  300",",,W","25.1",",,W","33.1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-03","2.68",",,W",,,"0.63",",,W,2400","3.5",",,W","0","T,,W","20","H,,S","26",",,W","10",",,W","  110",",,W","  360",",,W","8.9",",,W","12.1",",,W","    1",",,W","    1",",,W",,,,,"    1",",,W",,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-04","4.25",",,W",,,"0.58",",,W,2400","0.0",",,W","3",",,W","29","H,,S","38",",,W","26",",,W","   20",",,W","   20",",,W","12.1",",,W","16.1",",,W","    1",",,W","    1",",,W",,,,,"    1",",,W",,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-05","15.88",",,W",,,"0.00","T,,W,2400","0.0","T,,W","3",",,W","31","H,,S","40",",,W","11",",,W","  290",",,W","  290",",,W","29.1",",,W","46.1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-06","3.13",",,W",,,"0.01",",,W,2400","0.0","T,,W","3",",,W","11","H,,S","15",",,W","1",",,W","  280",",,W","  300",",,W","15.0",",,W","25.1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-07","9.62",",,W",,,"0.00","T,,W,2400","0.0","T,,W","3",",,W","8","H,,S","22",",,W","-4",",,W","  310",",,W","  330",",,W","28.0",",,W","36.0",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-08","7.38",",,W",,,"0.00",",,W,2400","0.0",",,W","3",",,W","1","H,,S","17",",,W","-9",",,W","  310",",,W","  310",",,W","23.0",",,W","30.0",",,W",,,,,,,,,,,,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-09","8.95",",,W",,,"0.14",",,W,2400","1.4",",,W","3",",,W","18","H,,S","27",",,W","11",",,W","  250",",,W","  230",",,W","19.9",",,W","29.1",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-10","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W","5",",,W","15","H,,S","21",",,W","-2",",,W","  260",",,W","  250",",,W","16.1",",,W","21.9",",,W",,,,,,,,,,,,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-11","2.01",",,W",,,"0.00",",,W,2400","0.0",",,W","5",",,W","7","H,,S","22",",,W","-8",",,W","  190",",,W","  160",",,W","8.9",",,W","12.1",",,W",,,,,,,,,,,,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-12","3.13",",,W",,,"0.05",",,W,2400","0.5",",,W","5",",,W","24","H,,S","32",",,W","20",",,W","  320",",,W","  350",",,W","19.9",",,W","29.1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-13","10.07",",,W",,,"0.00",",,W,2400","0.0",",,W","5",",,W","19","H,,S","30",",,W","-6",",,W","  310",",,W","  310",",,W","25.1",",,W","35.1",",,W",,,,,,,,,,,,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-14","1.34",",,W",,,"0.00","T,,W,2400","0.0","T,,W","5",",,W","3","H,,S","20",",,W","-10",",,W","  330",",,W","  330",",,W","8.1",",,W","10.1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-15","4.03",",,W",,,"0.00","T,,W,2400","0.0","T,,W","5",",,W","23","H,,S","29",",,W","15",",,W","  310",",,W","  320",",,W","8.9",",,W","12.1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-16","12.53",",,W",,,"0.00","T,,W,2400","0.0","T,,W","5",",,W","22","H,,S","34",",,W","9",",,W","  300",",,W","  320",",,W","32.0",",,W","40.9",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-17","9.40",",,W",,,"0.00",",,W,2400","0.0",",,W","5",",,W","10","H,,S","20",",,W","2",",,W","  310",",,W","  310",",,W","21.9",",,W","33.1",",,W",,,,,,,,,,,,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-18","4.03",",,W",,,"0.74",",,W,2400","0.0",",,W","5",",,W","23","H,,S","47",",,W","15",",,W","  180",",,W","  140",",,W","16.1",",,W","23.9",",,W","    1",",,W",,,,,,,"    1",",,W","    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-19","8.05",",,W",,,"0.04",",,W,2400","0.0",",,W","4",",,Z","38","H,,S","40",",,W","32",",,W","  290",",,W","  280",",,W","19.9",",,W","27.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-20","13.87",",,W",,,"0.00",",,W,2400","0.0",",,W","4",",,W","30","H,,S","33",",,W","20",",,W","  300",",,W","  280",",,W","21.9",",,W","30.0",",,W",,,,,,,,,,,,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-21","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W","4",",,Z","22","H,,S","32",",,W","13",",,W","  320",",,W","  320",",,W","19.9",",,W","25.9",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-22","2.91",",,W",,,"0.00",",,W,2400","0.0",",,W","4",",,W","24","H,,S","36",",,W","15",",,W","  320",",,W","  280",",,W","12.1",",,W","17.0",",,W",,,,,,,,,,,,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-23","4.25",",,W",,,"0.00",",,W,2400","0.0",",,W","4",",,W","26","H,,S","34",",,W","12",",,W","  220",",,W","  230",",,W","14.1",",,W","17.0",",,W",,,,,,,,,,,,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-24","3.13",",,W",,,"0.26",",,W,2400","4.3",",,W","3",",,W","25","H,,S","32",",,W","17",",,W","  290",",,W","  280",",,W","8.9",",,W","12.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-25","10.51",",,W",,,"0.02",",,W,2400","0.2",",,W","7",",,W","29","H,,S","35",",,W","8",",,W","  310",",,W","  320",",,W","23.9",",,W","32.0",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-26","7.16",",,W",,,"0.00","T,,W,2400","0.0","T,,W","7",",,W","12","H,,S","21",",,W","-2",",,W","   30",",,W","   20",",,W","23.0",",,W","28.0",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-27","15.21",",,W",,,"0.63",",,W,2400","12.8",",,W","9",",,W","16","H,,S","21",",,W","12",",,W","  360",",,W","  360",",,W","25.1",",,W","35.1",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-28","10.51",",,W",,,"0.01",",,W,2400","0.2",",,W","14",",,W","15","H,,S","23",",,W","1",",,W","  310",",,W","  310",",,W","19.9",",,W","25.1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-29","2.68",",,W",,,"0.00",",,W,2400","0.0",",,W","13",",,W","11","H,,S","31",",,W","-11",",,W","  170",",,W","  180",",,W","8.9",",,W","14.1",",,W",,,,,,,,,,,,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-30","8.05",",,W",,,"0.16",",,W,2400","2.2",",,W","12",",,W","28","H,,S","32",",,W","15",",,W","  310",",,W","  320",",,W","31.1",",,W","38.0",",,W","    1",",,W",,,,,,,"    1",",,W","    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-01-31","19.24",",,W",,,"0.00",",,W,2400","0.0",",,W","13",",,W","13","H,,S","15",",,W","4",",,W","  310",",,W","  310",",,W","31.1",",,W","40.9",",,W",,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-02-01","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W","12",",,W","13","H,,S","22",",,W","1",",,W","  310",",,W","  310",",,W","23.9",",,W","32.0",",,W",,,,,,,,,,,,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-02-02","8.50",",,W",,,"0.71",",,W,2400","9.9",",,W","14",",,W","9","H,,S","12",",,W","6",",,W","   30",",,W","   40",",,W","21.0",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-02-03","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W","19",",,W","10","H,,S","22",",,W","-7",",,W","  310",",,W","  320",",,W","19.9",",,W","25.1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014745","CONCORD MUNICIPAL AIRPORT, NH US","43.12","-71.3","105.5","2015-02-04","2.24",",,W",,,"0.01",",,W,2400","0.0","T,,W","19",",,W","10","H,,S","31",",,W","-7",",,W","  180",",,W","  180",",,W","12.1",",,W","13.0",",,W","    1",",,W",,,,,,,,,,,,
