DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           
2017-05-19                18:39:43.729              138.44425612              3322.662147               1495219183.729            0                         899                       1.8345470386E+00          1.8186448529E+00          5.2186864318E+02          5.0822175663E+02          2.4801171272E+00          7.1231542322E+02          4.4402305603E+01          -1.3317394793E+00         3.5145721436E+01          1.9020279486E+01          
2017-05-19                18:39:44.653              138.44426682              3322.662404               1495219184.653            2                         899                       1.8322950516E+00          1.8160689120E+00          5.2187213494E+02          5.0793534600E+02          2.5342307195E+00          7.1231695031E+02          4.4403141502E+01          -1.1515981141E+00         3.5145721436E+01          1.9042621613E+01          
2017-05-19                18:39:45.612              138.44427793              3322.662670               1495219185.613            2                         899                       1.8323731038E+00          1.8161459606E+00          5.2274222704E+02          5.0878193807E+02          2.5342799397E+00          7.1229139154E+02          4.4408042908E+01          -1.1545408419E+00         3.5145721436E+01          1.9006955115E+01          
2017-05-19                18:39:46.539              138.44428866              3322.662928               1495219186.540            2                         899                       1.8344663079E+00          1.8183127774E+00          5.2274222704E+02          5.0885970629E+02          2.5197771393E+00          7.1232119205E+02          4.4408042908E+01          -1.1522772312E+00         3.5145721436E+01          1.8975069046E+01          
2017-05-19                18:39:47.525              138.44430006              3322.663201               1495219187.525            2                         899                       1.8344663079E+00          1.8183127774E+00          5.2385284174E+02          5.0994082629E+02          2.5197771393E+00          7.1233254176E+02          4.4408042908E+01          -1.1543899475E+00         3.5145721436E+01          1.8981327107E+01          
2017-05-19                18:39:48.500              138.44431134              3322.663472               1495219188.500            2                         899                       1.8361111898E+00          1.8199727891E+00          5.2385284174E+02          5.0996585249E+02          2.5151209004E+00          7.1231085205E+02          4.4408042908E+01          -1.2564470768E+00         3.5145721436E+01          1.9036289215E+01          
2017-05-19                18:39:49.453              138.44432237              3322.663737               1495219189.453            2                         899                       1.8361111898E+00          1.8199727891E+00          5.2405817045E+02          5.1016573807E+02          2.5151209004E+00          7.1231085205E+02          4.4408042908E+01          -1.2564470768E+00         3.5145721436E+01          1.9036289215E+01          
2017-05-19                18:39:50.414              138.44433351              3322.664004               1495219190.415            2                         899                       1.8342251509E+00          1.8179170647E+00          5.2407146932E+02          5.1002107670E+02          2.5444399143E+00          7.1233879847E+02          4.4411213300E+01          -1.2555523898E+00         3.5145721436E+01          1.9037278914E+01          
2017-05-19                18:39:51.355              138.44434439              3322.664265               1495219191.355            2                         899                       1.8342665561E+00          1.8179579354E+00          5.2473332939E+02          5.1066505134E+02          2.5444661031E+00          7.1235769512E+02          4.4413810730E+01          -1.2190864528E+00         3.5145721436E+01          1.9036021858E+01          
2017-05-19                18:39:52.318              138.44435553              3322.664533               1495219192.318            0                         899                       1.8347004622E+00          1.8187752316E+00          5.2473332939E+02          5.1099312604E+02          2.4835331741E+00          7.1232502797E+02          4.4413810730E+01          -1.1948440706E+00         3.5145721436E+01          1.9035866339E+01          
