VC:2f90039 BD:Jan 16 2014 SN:LGR-14-0208
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  11/17/2016 10:35:23.017,   1.929737e+00,   5.781276e-04,   9.500934e+03,   4.243723e+01,   4.129556e+02,   3.853469e-01,   1.948248e+00,   6.057441e-04,   4.169167e+02,   3.956910e-01,   1.406092e+02,   2.403733e-02,   2.014295e+01,   2.193669e-03,   1.867085e+01,   4.202805e-03,   1.127314e+01,   3.907112e-03,   1.170514e+01,   4.288633e-03,              3,              0,       1 meters
  11/17/2016 10:35:27.902,   1.930592e+00,   8.305695e-04,   9.434217e+03,   3.814542e+01,   4.120577e+02,   2.448753e-01,   1.948979e+00,   8.556160e-04,   4.159822e+02,   2.627780e-01,   1.405753e+02,   1.738490e-02,   2.013431e+01,   3.782402e-03,   1.865460e+01,   8.311853e-03,   1.127458e+01,   3.551162e-03,   1.170968e+01,   2.196893e-03,              3,              0,       1 meters
  11/17/2016 10:35:32.787,   1.930397e+00,   4.389255e-04,   9.377902e+03,   3.517034e+01,   4.120649e+02,   1.810041e-01,   1.948671e+00,   4.455072e-04,   4.159657e+02,   1.871119e-01,   1.405377e+02,   2.028376e-02,   2.012308e+01,   3.069999e-03,   1.862862e+01,   6.393350e-03,   1.127349e+01,   3.982402e-03,   1.170726e+01,   9.528136e-04,              3,              0,       1 meters
  11/17/2016 10:35:37.671,   1.930281e+00,   1.139867e-03,   9.298304e+03,   3.683896e+01,   4.115667e+02,   4.537911e-01,   1.948398e+00,   1.168079e-03,   4.154295e+02,   4.708860e-01,   1.405316e+02,   1.800827e-02,   2.011238e+01,   3.204391e-03,   1.860135e+01,   8.045569e-03,   1.127540e+01,   5.758376e-03,   1.170888e+01,   6.154251e-03,              3,              0,       1 meters
  11/17/2016 10:35:42.555,   1.930563e+00,   9.890010e-04,   9.386901e+03,   3.204481e+01,   4.121242e+02,   4.985999e-01,   1.948857e+00,   1.003601e-03,   4.160295e+02,   5.101791e-01,   1.406038e+02,   2.172767e-02,   2.010298e+01,   2.652319e-03,   1.857671e+01,   6.540070e-03,   1.127373e+01,   2.973707e-03,   1.170812e+01,   5.491635e-03,              3,              0,       1 meters
  11/17/2016 10:35:47.441,   1.926988e+00,   1.902572e-03,   9.525520e+03,   9.385081e+01,   4.142988e+02,   1.145452e+00,   1.945520e+00,   1.748424e-03,   4.182833e+02,   1.195207e+00,   1.406014e+02,   2.400684e-02,   2.009295e+01,   3.341182e-03,   1.855776e+01,   5.724054e-03,   1.127346e+01,   4.189377e-03,   1.170647e+01,   5.443957e-03,              3,              0,       1 meters
  11/17/2016 10:35:52.326,   1.919849e+00,   2.445641e-03,   9.986680e+03,   1.469975e+02,   4.180469e+02,   1.348096e+00,   1.939215e+00,   2.203280e-03,   4.222641e+02,   1.424195e+00,   1.405640e+02,   2.482482e-02,   2.008231e+01,   3.283137e-03,   1.853928e+01,   5.633070e-03,   1.127455e+01,   2.656575e-03,   1.170694e+01,   2.565316e-03,              3,              0,       1 meters
  11/17/2016 10:35:57.209,   1.912850e+00,   2.647573e-03,   1.042442e+04,   1.090594e+02,   4.220364e+02,   1.277944e+00,   1.933000e+00,   2.467218e-03,   4.264823e+02,   1.337614e+00,   1.405265e+02,   2.116976e-02,   2.007154e+01,   2.906320e-03,   1.851719e+01,   7.898978e-03,   1.127458e+01,   2.612106e-03,   1.170767e+01,   2.261357e-03,              3,              0,       1 meters
  11/17/2016 10:36:02.093,   1.907500e+00,   1.731990e-03,   1.082904e+04,   1.100713e+02,   4.258525e+02,   1.165498e+00,   1.928383e+00,   1.578506e-03,   4.305147e+02,   1.224928e+00,   1.405543e+02,   1.818671e-02,   2.006094e+01,   2.939886e-03,   1.849217e+01,   7.596030e-03,   1.127300e+01,   1.744046e-03,   1.170869e+01,   2.674414e-03,              3,              0,       1 meters
  11/17/2016 10:36:06.979,   1.900932e+00,   2.408337e-03,   1.104457e+04,   5.288237e+01,   4.292170e+02,   9.482816e-01,   1.922162e+00,   2.351462e-03,   4.340105e+02,   9.810935e-01,   1.406079e+02,   1.950792e-02,   2.005085e+01,   2.882044e-03,   1.847231e+01,   3.885113e-03,   1.127495e+01,   1.735856e-03,   1.171177e+01,   2.578454e-03,              3,              0,       1 meters
