var,med,q025,q975
beta[1],-6.01,-12.79,0.59
beta[2],0.30,-0.12,0.72
beta[3],0.06,0.04,0.08
beta[4],-0.02,-0.03,0.00
beta[5],0.00,-0.01,0.01
beta[6],-0.03,-0.11,0.04
beta[7],6.53,0.66,12.50
beta[8],0.02,-0.31,0.37
collar_int[1],0.23,0.00,0.46
collar_int[2],0.28,-0.05,0.61
collar_int[3],0.06,-0.15,0.27
collar_int[4],0.25,0.03,0.47
collar_int[5],0.01,-0.20,0.21
collar_int[6],0.01,-0.21,0.23
collar_int[7],0.00,-0.20,0.20
collar_int[8],-0.16,-0.33,0.01
collar_int[9],-0.14,-0.34,0.06
collar_int[10],-0.08,-0.27,0.11
collar_int[11],0.05,-0.18,0.28
collar_int[12],0.42,0.14,0.71
collar_int[13],-0.33,-0.60,-0.06
collar_int[14],0.23,0.02,0.43
collar_int[15],-0.14,-0.51,0.23
collar_int[16],0.28,0.04,0.52
collar_int[17],-0.23,-0.54,0.07
collar_int[18],-0.13,-0.35,0.09
collar_int[19],0.29,0.00,0.60
collar_int[20],0.53,0.25,0.80
collar_int[21],-0.32,-0.55,-0.11
collar_int[22],0.00,-0.27,0.27
collar_int[23],-0.02,-0.24,0.20
collar_int[24],0.14,-0.11,0.40
collar_int[25],0.29,0.04,0.54
collar_int[26],0.31,0.03,0.59
collar_int[27],-0.21,-0.42,-0.01
collar_int[28],-0.20,-0.40,-0.02
collar_int[29],-0.19,-0.47,0.10
collar_int[30],0.12,-0.19,0.44
collar_int[31],-0.19,-0.44,0.07
collar_int[32],-0.13,-0.50,0.24
collar_int[33],-0.58,-0.76,-0.39
collar_int[34],-0.48,-0.82,-0.16
collar_int[35],0.05,-0.27,0.37
collar_int[36],-0.04,-0.25,0.16
month_int[1],-0.02,-0.22,0.14
month_int[2],0.13,-0.03,0.29
month_int[3],0.13,-0.03,0.36
month_int[4],0.07,-0.09,0.29
month_int[5],-0.06,-0.20,0.12
month_int[6],-0.07,-0.33,0.11
month_int[7],-0.18,-0.38,-0.02
sigma_e,0.25,0.24,0.27
sigma_c,0.28,0.22,0.38
sigma_m,0.15,0.07,0.39
