parameter,SM_med,SM_025,SM_975,Temp_med,Temp_025,Temp_975
intercept,1.57,0.58,2.63,na,na,na
beta_rain,0,0,0,na,na,na
beta_sand,-1.43,-2.45,-0.43,na,na,na
collar_int[1],0.01,-0.04,0.06,-0.01,-0.45,0.23
collar_int[2],-0.07,-0.12,-0.02,0.01,-0.24,0.42
collar_int[3],-0.03,-0.08,0.02,0,-0.29,0.36
collar_int[4],-0.04,-0.1,0.01,-0.01,-0.38,0.27
collar_int[5],-0.02,-0.07,0.03,0,-0.33,0.31
collar_int[6],-0.04,-0.09,0,0,-0.36,0.28
collar_int[7],-0.04,-0.09,0.01,0,-0.3,0.34
collar_int[8],-0.02,-0.07,0.02,0,-0.34,0.3
collar_int[9],0.01,-0.04,0.06,-0.01,-0.38,0.27
collar_int[10],-0.02,-0.07,0.02,-0.01,-0.41,0.26
collar_int[11],-0.03,-0.08,0.01,0,-0.35,0.31
collar_int[12],0.03,-0.03,0.09,-0.01,-0.44,0.26
collar_int[13],0.03,-0.02,0.09,0,-0.32,0.34
collar_int[14],-0.04,-0.1,0.01,0.02,-0.22,0.49
collar_int[15],0.01,-0.05,0.06,0.01,-0.22,0.46
collar_int[16],-0.03,-0.08,0.03,0.02,-0.23,0.49
collar_int[17],0.16,0.11,0.21,0,-0.33,0.32
collar_int[18],0.08,0.03,0.13,0.01,-0.23,0.47
collar_int[19],0.01,-0.05,0.07,0.01,-0.23,0.46
collar_int[20],-0.03,-0.09,0.03,0.02,-0.21,0.52
collar_int[21],0.02,-0.03,0.07,0.01,-0.27,0.41
collar_int[22],0.01,-0.04,0.07,0.01,-0.27,0.39
collar_int[23],0,-0.05,0.05,0,-0.34,0.34
collar_int[24],-0.01,-0.06,0.05,0,-0.34,0.33
collar_int[25],-0.04,-0.09,0.01,0,-0.32,0.35
collar_int[26],0.09,0.04,0.15,0,-0.3,0.35
collar_int[27],0.07,0.01,0.12,0.01,-0.25,0.42
collar_int[28],0.01,-0.03,0.06,-0.02,-0.48,0.21
collar_int[29],0.01,-0.05,0.07,-0.02,-0.47,0.2
collar_int[30],-0.01,-0.08,0.05,0,-0.28,0.35
collar_int[31],-0.03,-0.08,0.02,-0.01,-0.41,0.25
collar_int[32],-0.02,-0.07,0.03,-0.01,-0.43,0.24
collar_int[33],0.01,-0.04,0.06,0,-0.32,0.32
collar_int[34],-0.03,-0.08,0.02,-0.01,-0.42,0.25
collar_int[35],0.02,-0.03,0.07,-0.01,-0.44,0.24
collar_int[36],-0.02,-0.07,0.03,-0.01,-0.38,0.27
month_int[1],0.13,0.06,0.21,0.11,-3.93,12.74
month_int[2],0.03,-0.05,0.11,-1.11,-5.13,11.48
month_int[3],-0.07,-0.15,0.01,4.59,0.6,17.24
month_int[4],-0.08,-0.17,-0.01,5.44,1.43,18.08
month_int[5],-0.05,-0.14,0.02,2.98,-1.01,15.59
month_int[6],0.02,-0.06,0.10,-2.48,-6.48,10.11
month_int[7],0.02,-0.06,0.09,-4.88,-8.92,7.65
status_int[1],0,-0.17,0.17,12.98,0.3,16.98
status_int[2],-0.02,-0.2,0.14,12.15,-0.27,16.17
status_int[3],0.01,-0.16,0.18,12.64,0.02,16.64
sigma_e,0.08,0.08,0.09,1.85,1.72,1.99
sigma_c,0.05,0.04,0.07,0.11,0.01,0.38
sigma_s,0.04,0,0.64,17.46,0.61,86.69
sigma_m,0.09,0.05,0.19,4.7,2.64,17.3
