parameter,CO2_med,CO2_025,CO2_975,CH4_med,CH4_025,CH4_975
intercept,-6.01,-12.79,0.59,0.18,-15.60,15.63
beta_SM,0.3,-0.12,0.72,-5.88,-7.50,-4.28
beta_temp,0.06,0.04,0.08,0.00,-0.07,0.05
beta_rain,-0.02,-0.03,0,-0.03,-0.07,0.02
beta_DBH,0,-0.01,0.01,na,na,na
beta_root,-0.03,-0.11,0.04,na,na,na
beta_sand,6.53,0.66,12.5,9.58,-4.28,23.78
beta_pH,0.02,-0.31,0.37,-1.02,-1.82,-0.22
collar_int[1],0.23,0,0.46,-0.45,-1.05,0.14
collar_int[2],0.28,-0.05,0.61,0.41,-0.36,1.22
collar_int[3],0.06,-0.15,0.27,0.47,-0.09,1.04
collar_int[4],0.25,0.03,0.47,-0.19,-0.81,0.43
collar_int[5],0.01,-0.2,0.21,0.06,-0.51,0.63
collar_int[6],0.01,-0.21,0.23,-0.05,-0.64,0.54
collar_int[7],0,-0.2,0.2,0.48,-0.09,1.06
collar_int[8],-0.16,-0.33,0.01,0.21,-0.33,0.75
collar_int[9],-0.14,-0.34,0.06,-0.73,-1.34,-0.15
collar_int[10],-0.08,-0.27,0.11,0.44,-0.10,0.99
collar_int[11],0.05,-0.18,0.28,-0.50,-1.05,0.04
collar_int[12],0.42,0.14,0.71,-0.82,-1.52,-0.16
collar_int[13],-0.33,-0.6,-0.06,-0.56,-1.31,0.17
collar_int[14],0.23,0.02,0.43,-0.46,-1.07,0.14
collar_int[15],-0.14,-0.51,0.23,-0.39,-1.01,0.24
collar_int[16],0.28,0.04,0.52,-0.07,-0.69,0.54
collar_int[17],-0.23,-0.54,0.07,-0.50,-1.25,0.22
collar_int[18],-0.13,-0.35,0.09,0.09,-0.52,0.70
collar_int[19],0.29,0,0.6,0.46,-0.30,1.24
collar_int[20],0.53,0.25,0.8,0.28,-0.43,0.97
collar_int[21],-0.32,-0.55,-0.11,0.54,-0.08,1.18
collar_int[22],0,-0.27,0.27,0.46,-0.22,1.20
collar_int[23],-0.02,-0.24,0.2,-0.49,-1.13,0.14
collar_int[24],0.14,-0.11,0.4,-0.04,-0.69,0.60
collar_int[25],0.29,0.04,0.54,-0.15,-0.82,0.51
collar_int[26],0.31,0.03,0.59,-0.15,-0.85,0.55
collar_int[27],-0.21,-0.42,-0.01,-0.46,-1.05,0.11
collar_int[28],-0.2,-0.4,-0.02,0.69,0.12,1.26
collar_int[29],-0.19,-0.47,0.1,-0.49,-1.22,0.23
collar_int[30],0.12,-0.19,0.44,-0.53,-1.35,0.26
collar_int[31],-0.19,-0.44,0.07,-0.55,-1.13,0.01
collar_int[32],-0.13,-0.5,0.24,0.64,0.10,1.20
collar_int[33],-0.58,-0.76,-0.39,0.68,0.15,1.25
collar_int[34],-0.48,-0.82,-0.16,1.64,1.04,2.29
collar_int[35],0.05,-0.27,0.37,0.31,-0.25,0.87
collar_int[36],-0.04,-0.25,0.16,-0.36,-0.89,0.19
month_int[1],-0.02,-0.22,0.14,-0.14,-0.72,0.36
month_int[2],0.13,-0.03,0.29,-0.28,-0.79,0.13
month_int[3],0.13,-0.03,0.36,0.16,-0.34,0.82
month_int[4],0.07,-0.09,0.29,0.26,-0.20,0.93
month_int[5],-0.06,-0.2,0.12,0.12,-0.29,0.66
month_int[6],-0.07,-0.33,0.11,0.29,-0.37,0.92
month_int[7],-0.18,-0.38,-0.02,-0.44,-1.08,0.03
sigma_e,0.25,0.24,0.27,0.97,0.90,1.05
sigma_c,0.28,0.22,0.38,0.63,0.46,0.85
sigma_m,0.15,0.07,0.39,0.40,0.16,1.07
